klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,feat_zs_cnt,feat_break_bi_amp,feat_break_bi_klu_cnt,feat_break_bi_amp_rate,feat_bi_amp,feat_bi_klu_cnt,feat_bi_amp_rate,feat_level,feat_bsp_type,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,snapshot_first_seen_ts,profit_target_pct,profit_target_distance,has_profit_target,exit_type,exit_klu_idx,exit_price,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,date,direction_encoded
113.0,2022-10-03 13:25:00,272.565,272.7599,272.4138,272.63,335658.0,1p,1p,0.0,sell,False,0.3986926920230234,2.3898000000000366,19.0,0.008838995140365138,0.16170057843461427,0.2534702524828442,0.33432054170015135,0.0012311747527311487,66.48479426767258,85.62945161589533,78.68191368533826,99.52452747700949,335658.0,2.3898000000000366,0.0,2.3898000000000366,19.0,0.008838995140365138,2.3898000000000366,0.0,0.0,1.0,1.0,0.16170057843461427,0.33432054170015135,0.2534702524828442,66.48479426767258,85.62945161589533,78.68191368533826,99.52452747700949,24.268172273289977,11.681430697130565,18.031291886353294,0.023847522609285025,0.127049363872181,0.12990000000002055,0.1512000000000171,0.06499999999999773,1.0,114.0,114.0,2022-10-03 13:25:00,-1.1224003227817931,349.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
114.0,2022-10-03 13:30:00,272.65,273.18,272.59,273.16,656397.0,1p,1p,0.0,sell,False,0.6239838920551201,2.8099000000000274,20.0,0.010392791214709126,0.2530735032217952,0.2851044403855686,0.4116411919964662,0.0015152500070246644,71.05067353133117,90.14415231693323,82.50265989586991,105.42713715905987,656397.0,2.8099000000000274,0.0,2.8099000000000274,20.0,0.010392791214709126,2.8099000000000274,0.0,0.0,1.0,1.0,0.2530735032217952,0.4116411919964662,0.2851044403855686,71.05067353133117,90.14415231693323,82.50265989586991,105.42713715905987,29.98518190253271,8.032239748507426,20.86794436844116,0.1870529983495499,0.21644227594557097,0.01999999999998181,0.060000000000002274,0.5100000000000477,1.0,115.0,115.0,2022-10-03 13:30:00,-0.9261971006003707,348.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
117.0,2022-10-03 13:45:00,272.975,273.33,272.95,273.166,667997.0,1p,1p,0.0,sell,False,0.6346951110431747,2.9599000000000046,23.0,0.010947586290052061,0.25259205807836216,0.38023966021073424,0.5065356892499153,0.0018626476973553623,68.64145699669899,89.43377691659107,87.13444894206074,94.03243286565174,667997.0,2.9599000000000046,0.0,2.9599000000000046,23.0,0.010947586290052061,2.9599000000000046,0.0,0.0,1.0,1.0,0.25259205807836216,0.5065356892499153,0.38023966021073424,68.64145699669899,89.43377691659107,87.13444894206074,94.03243286565174,34.50938751870217,8.124587737503088,28.498041839300676,0.06996977745213813,0.13921963729620643,0.16399999999998727,0.025000000000034106,0.19099999999997408,1.0,118.0,118.0,2022-10-03 13:45:00,-0.9239802903728871,345.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
121.0,2022-10-03 14:05:00,273.14,273.48,273.05,273.185,304494.0,1p,1p,0.0,sell,False,0.6346951110431747,3.1099000000000387,27.0,0.011502381365395208,0.11245315176793191,0.4540093451837377,0.5102359210677037,0.001874248102063113,66.51619934500818,79.35200842738351,82.17036620906006,73.7152928640304,304494.0,3.1099000000000387,0.0,3.1099000000000387,27.0,0.011502381365395208,3.1099000000000387,0.0,0.0,1.0,1.0,0.11245315176793191,0.5102359210677037,0.4540093451837377,66.51619934500818,79.35200842738351,82.17036620906006,73.7152928640304,43.63140753327433,4.425092041914278,38.55537870636577,0.016475067730839833,0.15748031496063242,0.2950000000000159,0.08999999999997499,0.045000000000015916,1.0,122.0,122.0,2022-10-03 14:05:00,-0.9169610337317187,341.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
122.0,2022-10-03 14:10:00,273.2,273.7,273.2,273.625,381403.0,1p,1p,0.0,sell,False,0.6346951110431747,3.329900000000009,28.0,0.012316080809231529,0.14177984133131782,0.47173182535015246,0.5426217460158114,0.0019924572796876676,70.83306682884637,83.98242003267046,82.77438415026353,86.39849179748433,381403.0,3.329900000000009,0.0,3.329900000000009,28.0,0.012316080809231529,3.329900000000009,0.0,0.0,1.0,1.0,0.14177984133131782,0.5426217460158114,0.47173182535015246,70.83306682884637,83.98242003267046,82.77438415026353,86.39849179748433,41.73379494738053,4.284783875501177,41.61413923239416,0.1555636896046894,0.18301610541727673,0.07499999999998863,0.0,0.42500000000001137,1.0,123.0,123.0,2022-10-03 14:10:00,-0.7546825034262212,340.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
123.0,2022-10-03 14:15:00,273.62,273.86,273.54,273.83,297385.0,1p,1p,0.0,sell,False,0.6346951110431747,3.489900000000034,29.0,0.012907862222930843,0.17029277278772148,0.49301842194861767,0.5781648083424784,0.002122106939455342,72.6051678707905,88.4520481377215,84.66693881274952,96.0222667876655,297385.0,3.489900000000034,0.0,3.489900000000034,29.0,0.012907862222930843,3.489900000000034,0.0,0.0,1.0,1.0,0.17029277278772148,0.5781648083424784,0.49301842194861767,72.6051678707905,88.4520481377215,84.66693881274952,96.0222667876655,41.321332133211506,4.5004500450043565,44.381466567919965,0.07674877567428534,0.11698471887109496,0.03000000000002956,0.07999999999998408,0.20999999999997954,1.0,124.0,124.0,2022-10-03 14:15:00,-0.679253551473547,339.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
124.0,2022-10-03 14:20:00,273.83,274.18,273.825,273.9861,419465.0,1p,1p,0.0,sell,False,0.6346951110431747,3.8099000000000274,30.0,0.014091425050329263,0.19017146224828396,0.5167898547296532,0.6118755858537952,0.0022449011214130364,73.90528932722832,87.90454002832269,85.74613921794057,92.22134164908692,419465.0,3.8099000000000274,0.0,3.8099000000000274,30.0,0.014091425050329263,3.8099000000000274,0.0,0.0,1.0,1.0,0.19017146224828396,0.6118755858537952,0.5167898547296532,73.90528932722832,87.90454002832269,85.74613921794057,92.22134164908692,46.31294964028613,4.496402877697702,47.08999645276513,0.05700617171239005,0.12964484616087582,0.19389999999998508,0.0049999999999954525,0.15610000000003765,1.0,125.0,125.0,2022-10-03 14:20:00,-0.6218928624481227,338.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
125.0,2022-10-03 14:25:00,274.0,274.44,273.8,274.3305,524650.0,1p,1p,0.0,sell,False,0.6346951110431747,4.069900000000018,31.0,0.015053069847590464,0.227196595312964,0.5451894291437738,0.6587877268002558,0.002415855498368117,76.54958896025536,89.82653342928594,87.10627062172236,95.26705904441309,524650.0,4.069900000000018,0.0,4.069900000000018,31.0,0.015053069847590464,4.069900000000018,0.0,0.0,1.0,1.0,0.227196595312964,0.6587877268002558,0.5451894291437738,76.54958896025536,89.82653342928594,87.10627062172236,95.26705904441309,47.64705882352779,4.0336134453781956,49.7542998420275,0.12062043795619426,0.2337472607742828,0.10950000000002547,0.19999999999998863,0.33049999999997226,1.0,126.0,126.0,2022-10-03 14:25:00,-0.49557012435730824,337.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
126.0,2022-10-03 14:30:00,274.32,274.47,274.1815,274.36,411579.0,1p,1p,0.0,sell,False,0.6346951110431747,4.099900000000048,32.0,0.015164028862659178,0.232317676720029,0.5742291387337775,0.690387977093792,0.002530591829885218,76.76676475783589,91.13435561952375,88.44896562098948,96.5051356165923,411579.0,4.099900000000048,0.0,4.099900000000048,32.0,0.015164028862659178,4.099900000000048,0.0,0.0,1.0,1.0,0.232317676720029,0.690387977093792,0.5742291387337775,76.76676475783589,91.13435561952375,88.44896562098948,96.5051356165923,41.015439992420454,4.546746234725842,51.91767699913833,0.01458151064451023,0.10522227064918642,0.11000000000001364,0.13849999999996498,0.040000000000020464,1.0,127.0,127.0,2022-10-03 14:30:00,-0.48476454293628224,336.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
127.0,2022-10-03 14:35:00,274.37,274.54,274.23,274.48,476237.0,1p,1p,0.0,sell,False,0.6346951110431747,4.169900000000041,33.0,0.015422933231152562,0.22819495925583588,0.6027535086407569,0.7168509882686749,0.0026264049856264686,77.6725876103148,92.99667423815242,89.96486849337712,99.06028572770302,476237.0,4.169900000000041,0.0,4.169900000000041,33.0,0.015422933231152562,4.169900000000041,0.0,0.0,1.0,1.0,0.22819495925583588,0.7168509882686749,0.6027535086407569,77.6725876103148,92.99667423815242,89.96486849337712,99.06028572770302,41.87204333892742,4.578055852281493,53.944148916965,0.04009184677625602,0.1130437953542655,0.060000000000002274,0.13999999999998636,0.11000000000001364,1.0,128.0,128.0,2022-10-03 14:35:00,-0.44083357621683894,335.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
128.0,2022-10-03 14:40:00,274.49,274.69,274.39,274.64,317126.0,1p,1p,0.0,sell,False,0.6346951110431747,4.319900000000018,34.0,0.0159777283064955,0.22307983803714682,0.6306384883954003,0.7421784074139737,0.002717945836288245,78.85627883017177,94.40519023284214,91.44497573986546,100.32561921879554,317126.0,4.319900000000018,0.0,4.319900000000018,34.0,0.0159777283064955,4.319900000000018,0.0,0.0,1.0,1.0,0.22307983803714682,0.7421784074139737,0.6306384883954003,78.85627883017177,94.40519023284214,91.44497573986546,100.32561921879554,38.87004280752621,4.846135207172397,55.65021680197879,0.05464679951909988,0.10933343051860904,0.05000000000001137,0.10000000000002274,0.14999999999997726,1.0,129.0,129.0,2022-10-03 14:40:00,-0.3823186717157047,334.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
129.0,2022-10-03 14:45:00,274.63,274.875,274.52,274.61,599821.0,1p,1p,0.0,sell,False,0.6346951110431747,4.5049000000000206,35.0,0.016661975566085233,0.19285168415188658,0.6547449489143861,0.7511707909903294,0.002749725275841189,78.02106464837564,91.42994417349315,91.43996521774136,91.40990208499676,599821.0,4.5049000000000206,0.0,4.5049000000000206,35.0,0.016661975566085233,4.5049000000000206,0.0,0.0,1.0,1.0,0.19285168415188658,0.7511707909903294,0.6547449489143861,78.02106464837564,91.42994417349315,91.43996521774136,91.40990208499676,42.13763629827705,4.792906498382504,57.35909189363069,-0.0072825255798644765,0.12931662538249242,0.24500000000000455,0.09000000000003183,0.01999999999998181,0.0,130.0,130.0,2022-10-03 14:45:00,-0.39328502239539126,333.0,1.0,best_within_2.0d,462.0,275.69,0.6028236660837124,4.232677966101706,24.627118644067796,0.015735632595413447,2.3533779661017014,17.576271186440678,0.008580109573763232,0.5779980407970123,4.789205128205135,23.692307692307693,0.017735326068933376,2.528084615384615,22.474358974358974,0.00934555341004581,1.7179487179487178,0.006473502735851113,1.904362500000012,12.291666666666666,0.007217577323385186,2022-10-03,1
