side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,ret_th,bucket,pnl,entry_px,entry_idx
buy,11681,150.37,665.0262685376072,0.0,OPEN_LONG pred_ret=3.57% [bear],2019/01/02 04:00,buy,1,3.5675923824310303,2.3999999999999995,bear,,,
sell,11746,150.99,665.0262685376072,0.0,CLOSE_LONG pred_ret=2.73% [bear],2019/01/02 09:25,sell,3a,2.7270777225494385,-0.5,bear,412.31628649331947,150.37,11681.0
buy,11831,152.96,656.4612727934971,0.0,OPEN_LONG pred_ret=2.76% [bear],2019/01/02 16:30,buy,2s,2.759159564971924,2.3999999999999995,bear,,,
sell,11864,151.45,656.4612727934971,0.0,CLOSE_LONG pred_ret=2.83% [bear],2019/01/02 19:15,sell,2,2.8257834911346436,-0.5,bear,-991.2565219181932,152.96,11831.0
buy,11879,150.76,659.4657718531117,0.0,OPEN_LONG pred_ret=3.98% [bear],2019/01/03 04:30,buy,1p,3.981929302215576,2.499999999999999,bear,,,
sell,11910,151.48,659.4657718531117,0.0,CLOSE_LONG pred_ret=2.88% [bear],2019/01/03 07:05,sell,2s,2.8752927780151367,2.499999999999999,bear,474.8153557342397,150.76,11879.0
buy,11947,150.83,662.3077313552301,0.0,OPEN_LONG pred_ret=3.19% [bear],2019/01/03 10:10,buy,2s,3.185730457305908,2.499999999999999,bear,,,
sell,11957,151.25,662.3077313552301,0.0,CLOSE_LONG pred_ret=2.58% [bear],2019/01/03 11:00,sell,2,2.5758473873138428,2.499999999999999,bear,278.16924716918834,150.83,11947.0
buy,12007,149.76,668.8971979666036,0.0,OPEN_LONG pred_ret=4.25% [bear],2019/01/03 15:10,buy,1p,4.2495646476745605,2.499999999999999,bear,,,
sell,12065,151.6,668.8971979666036,0.0,CLOSE_LONG pred_ret=3.19% [bear],2019/01/04 04:00,sell,2s,3.185176134109497,-0.5,bear,1230.7708442585529,149.76,12007.0
buy,12077,152.07,666.8298494886376,0.0,OPEN_LONG pred_ret=2.92% [bear],2019/01/04 05:00,buy,2,2.9185445308685303,2.2999999999999994,bear,,,
sell,12087,152.56,666.8298494886376,0.0,CLOSE_LONG pred_ret=3.63% [bear],2019/01/04 05:50,sell,2s,3.627009868621826,-0.5,bear,326.74662624943846,152.07,12077.0
buy,12102,152.34,667.7928438885817,0.0,OPEN_LONG pred_ret=2.40% [bear],2019/01/04 07:05,buy,2s,2.4038772583007812,2.2999999999999994,bear,,,
sell,12130,152.18,667.7928438885817,0.0,CLOSE_LONG pred_ret=5.30% [bear],2019/01/04 09:25,sell,2,5.295155048370361,-0.5,bear,-106.8468550221708,152.34,12102.0
buy,12202,155.8,652.2767328816711,0.0,OPEN_LONG pred_ret=3.24% [bear],2019/01/04 15:25,buy,1p,3.2381513118743896,2.2999999999999994,bear,,,
sell,12208,156.39,652.2767328816711,0.0,CLOSE_LONG pred_ret=5.59% [bear],2019/01/04 15:55,sell,2s,5.587989330291748,-0.5,bear,384.84327240016967,155.8,12202.0
buy,12255,156.19,653.1119678299798,0.0,OPEN_LONG pred_ret=2.81% [bear],2019/01/07 04:20,buy,2,2.806495189666748,2.4499999999999993,bear,,,
sell,12264,156.23,653.1119678299798,0.0,CLOSE_LONG pred_ret=5.82% [bear],2019/01/07 05:10,sell,2s,5.817464351654053,-0.5,bear,26.124478713193994,156.19,12255.0
