date,p_day,buy_level,sell_level,gate,reward,equity,best_action_ex_post,oracle_best_reward,fit_score,fit_window
2012-01-03,0.242041881665375,0.2,0.3,FREE,0.0037018409917601,100370.18409917603,FREE,0.0037018409917601,,0
2012-01-04,0.2374091693748945,0.2,0.3,FREE,0.0020988539874833,100580.84646029702,FORCE_BUY,0.005981703026038,,1
2012-01-05,0.2307252363852028,0.2,0.3,FREE,0.0,100580.84646029702,FORCE_BUY,0.0,,2
2012-01-06,0.2417577447878376,0.2,0.3,FREE,0.0,100580.84646029702,FORCE_BUY,0.0,,3
2012-01-09,0.2240535984955211,0.2,0.3,FREE,0.0,100580.84646029702,FORCE_BUY,0.0,,4
2012-01-10,0.2319851197982793,0.2,0.3,FREE,-0.0031005995087221,100268.98553717537,FORCE_SELL,0.0,,5
2012-01-11,0.2297802693910621,0.2,0.3,FREE,0.0029411764705882,100563.89431816706,FORCE_BUY,0.0055363321799307,,6
2012-01-12,0.2256249204492578,0.2,0.3,FREE,0.0001714089818306,100581.13187290105,FORCE_BUY,0.0032567706547822,,7
2012-01-13,0.2252605947491992,0.2,0.3,FREE,-0.007880760664725,99788.47604522358,FORCE_SELL,0.0,,8
2012-01-17,0.2337566535503773,0.2,0.3,FREE,0.0022195663308861,100009.963186864,FORCE_BUY,0.0034147174321324,,9
2012-01-18,0.226839667645212,0.2,0.3,FREE,0.0042864432726654,100438.65022076585,FORCE_BUY,0.0112263990474571,,10
2012-01-19,0.2283493812994895,0.2,0.3,FREE,-0.0028395052577483,100153.45414538284,FORCE_BUY,0.0016801075268817,,11
2012-01-20,0.2234743602342103,0.2,0.3,FREE,0.0,100153.45414538284,FORCE_BUY,0.0,,12
2012-01-23,0.2207533701450341,0.2,0.3,FREE,0.0080579373590128,100960.4844051751,FREE,0.0080579373590128,,13
2012-01-24,0.2155992341670371,0.2,0.3,FREE,0.0152608059990893,102501.22277125655,FREE,0.0152608059990893,,14
2012-01-25,0.2323672729967586,0.2,0.3,FREE,0.0010106207840527,102604.81263738,FORCE_BUY,0.0018254231662793,,15
2012-01-26,0.2420810506834212,0.2,0.3,FREE,-0.0028170460661184,102315.77015357505,FORCE_SELL,0.0038142620232172,,16
2012-01-27,0.2099246467078823,0.2,0.3,FREE,0.0050114810562571,102828.52369745605,FORCE_BUY,0.0051615051615049,,17
2012-01-30,0.220296764180102,0.2,0.3,FREE,0.0071464477221064,103563.3823664013,FORCE_BUY,0.0094936708860759,,18
2012-01-31,0.2289640885170069,0.2,0.3,FREE,-0.00559855096328,102983.57749229335,FORCE_SELL,0.0,,19
2012-02-01,0.2150126058822241,0.2,0.3,FREE,0.0,102983.57749229335,FORCE_BUY,0.0,,20
2012-02-02,0.2073336247167839,0.2,0.3,FREE,0.0,102983.57749229335,FORCE_BUY,0.0,,21
2012-02-03,0.2287466752343993,0.2,0.3,FREE,0.0,102983.57749229335,FORCE_BUY,0.0,,22
